dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/cableConnectionTypes|N|||text||70|1|N|||||||||R|N|en|Cable Connection Types|cableConnectionTypes<br>Qualifier: AVP167<br>Indicates the type of cable connections the product contains.|Horizontal|Text|4900|Left|200|Left||||Active||NULL|
avp/cableLength|N|||integer||4|1||||||||||R|N|en|Cable Length|cableLength<br>Qualifier: AVP168<br>Indicates the length of the cable.|Horizontal|Integer|5000|Left|200|Left||||Active||NULL|
avp/cableLengthUOM|N|||text||70|1|N|||||||||R|N|en|Cable Length UOM|cableLengthUOM<br>Qualifier: AVP169<br>The Unit of Measure associated with the Cable Length.|Horizontal|Text|5100|Left|200|Left||||Active||NULL|
avp/cacheSize|N|||integer||4|1||||||||||R|N|en|Cache Size|cacheSize<br>Qualifier: AVP170<br>Indicates the product's cache size. Cache size is the amount of storage located on the computer's hard drive or RAM where recentlty viewed files are stored.|Horizontal|Integer|5200|Left|200|Left||||Active||NULL|
avp/cacheUOM|N|||text||70|1|N|||||||||R|N|en|Cache UOM|cacheUOM<br>Qualifier: AVP171<br>The Unit of Measure associated with Cache Size.|Horizontal|Text|5300|Left|200|Left||||Active||NULL|
avp/callerIDLocation|Y||2|text||70|1|N|||||||||R|N|en|Caller ID Location|callerIDLocation<br>Qualifier: AVP172<br>Indicates the location of the Caller ID on the product.|Horizontal|Text|5400|Left|200|Left||||Active||NULL|
avp/cameraBagComposition|Y||3|text||70|1|N|||||||||R|N|en|Camera Bag Composition|cameraBagComposition<br>Qualifier: AVP173<br>Describes the material from, which the bag is made.|Horizontal|Text|5500|Left|200|Left||||Active||NULL|
avp/cameraBagType|Y||2|text||70|1|N|||||||||R|N|en|Camera Bag Type|cameraBagType<br>Qualifier: AVP174<br>Indicates the size/purpose of the bag.|Horizontal|Text|5600|Left|200|Left||||Active||NULL|
avp/cameraFilmType|N|||text||70|1|N|||||||||R|N|en|Camera Film Type|cameraFilmType<br>Qualifier: AVP175<br>Indicates the film type for camera use.|Horizontal|Text|5700|Left|200|Left||||Active||NULL|
avp/cameraFlashType|N|||text||70|1|N|||||||||R|N|en|Camera Flash Type|cameraFlashType<br>Qualifier: AVP176<br>Indicates the type of flash the product contains.|Horizontal|Text|5800|Left|200|Left||||Active||NULL|
avp/cameraKitAccessoriesDescription|N|||text||70|1|N|||||||||R|N|en|Camera Kit Accessories Description|cameraKitAccessoriesDescription<br>Qualifier: AVP177<br>Describes which accessories are included with the camera product.|Horizontal|Text|5900|Left|200|Left||||Active||NULL|
avp/cameraLensMagnification|N|||text||70|1|N|||||||||R|N|en|Camera Lens Magnification|cameraLensMagnification<br>Qualifier: AVP178<br>Indicates the lens magnification of the camera product.|Horizontal|Text|6000|Left|200|Left||||Active||NULL|
avp/cameraLensOpticalZoom|N|||text||70|1|N|||||||||R|N|en|Camera Lens Optical Zoom|cameraLensOpticalZoom<br>Qualifier: AVP179<br>Indicates the optical zoom on the camera product.|Horizontal|Text|6100|Left|200|Left||||Active||NULL|
avp/cameraLensZoomRange|N|||text||70|1|N|||||||||R|N|en|Camera Lens Zoom Range|cameraLensZoomRange<br>Qualifier: AVP180<br>Indicates the range of the camera lens on the product.|Horizontal|Text|6200|Left|200|Left||||Active||NULL|
